Field 1,Parent company,Vendor,Business status,link,Country of origin,Software type,Focus,Twitter,Crunchbase,Website shutdown date,B2B vs B2C,Financials,Last edit
136,"ACQUIA INC,Vista Equity Partners","Acquia acquia.com @acquia cloud platform for building, delivering & optimizing digital experiences. With the Acquia Platform, organisations can realize personalised, contextual & real-time customer engagement for the right person, at the right time, on the right device. These experiences can be deployed & managed at scale, for 1 to 1000s of sites. Acquia Lift “Content Hub”: Aggregate, syndicate & discover content across a disparate network of sites & channels, no matter the content source. Empower your business team to find content, so that your IT resources have more time to focus on higher priority issues. Break down content silos with powerful discovery tools to quickly find relevant content from other sites, departments, or technologies. Separate the content source from the site architecture or the code that powers the experience, giving you agility to design a great digital experience for your customers. Boston, DC, Portland, & Reading, UK. 8-Sep-2021, Acquia acquired Widen Enterprises, Inc. widen.com @widen for an undisclosed amount. Acquia was acquired by Vista Equity Partners.","Active,Acquired",www.acquia.com,"UK,USA",,,https://twitter.com/acquia,https://www.crunchbase.com/organization/acquia,,B2B,https://www.crunchbase.com/organization/acquia,17 March 2022
,Acquire Inc,"Acquire acquire.io @acquire_io Grow revenue, boost sales & improve support with our comprehensive customer support tools. Knowledge base software that saves you time: Create, organize, & share your customer-facing help center resources using Acquire Knowledge Base. Ready to level up your knowledge base? Scale support & always have the right answers with Acquire Knowledge Base. Got knowledge lying all over the place? No worries. Easily import all your content into Acquire. Knowledge Base Toolkit. Knowledge is power: Acquire’s Knowledge Base software helps you streamline customer service & grow your help resources through powerful features. Knowledge Base & Chatbot: A power couple. Address repetitive questions with a chatbot that suggests relevant knowledge base articles to customers without needing a live support agent. San Francisco, CA",Active,https://acquire.io,USA,,,https://twitter.com/acquire_io,https://www.crunchbase.com/organization/acquire-68dc,,,,28 April 2023
,"""ActiveCampaign, LLC""","ActiveCampaign activecampaign.com @ActiveCampaign customer experience automation platform helping businesses grow through meaningful engagement with their customers. Notify your team when leads take action: Tell your salespeople when their leads take action. If a lead browses specific pages or puts in a pricing request, send an automatic notification so that your salesperson can follow up directly. ActiveCampaign enables Sales teams in volume: 125 email templates available on the customer experience platform. Each template has been designed using HML & includes images & layout suitable for a wide range of B2B & B2C engagements. The templates also include the codes to draw in data from the Active Campaign platform to enable the easy creation of targeted email campaigns. Email marketing is still the king of B2B marketing! The responsive templates slot into one of 500+ automation recipes that ActiveCampaign has on its platform. These enable the automation of the complete sales lifecycle for a customer. Templates are usable for any product & any brand within a portfolio. It is possible to switch colours, fonts, & images & update text. The responsive design ensures that every email sent is easily read, no matter what the device used. More than half of all emails are opened on a mobile device! ActiveCampaign, LLC. Chicago, IL, USA. 3-May-2022, ActiveCampaign acquired Postmark as it builds on rapid growth: Postmark and DMARC Digests, two products owned by Philly web dev mainstay Wildbit, were sold to Chicago-based ActiveCampaign. USA",Active,https://www.activecampaign.com,USA,,,https://twitter.com/ActiveCampaign,,,"B2B,B2C",,31 May 2022
144,ACTO Technologies Inc.,"ACTO acto.com @ACTOapp Omni-channel Education & Engagement platform for life sciences: Disrupting how drugs & devices are promoted & brought to market. Scrimmage wescrimmage.com @wescrimmage mobile learning platforms & sales enablement software to help reinforce training, improve speed to competency, & enhance sales productivity. Minneapolis, MN, USA based mobile learning company Scrimmage has been acquired by Canadian software company ACTO actoapp.com/actoscrimmage/ the companies announced 11-SEP-2020.",Active,https://actoapp.com,Canada,,,https://twitter.com/ACTOapp,https://www.crunchbase.com/organization/ACTO,,,https://betakit.com/acto-acquires-us-based-scrimmage-following-series-a/,7 May 2023
3,"""Act-On Software, Inc.""","act-on Software act-on.com @actonsoftware Act-On’s Adaptive Marketing Platform is your command center to get the right messages, to the right people, at the right time. Emphasizes the importance of not only providing a sales team with the right content & tools and aligning those assets with the buying cycle, but aligning the right tools with the right sales person. $70.5M in estimated revenue annually & competes with Hatchbuck, Percolate, & V Locators. Portland, OR / Scottsdale, AZ, USA & Reading, UK & India","Active,Rebranding",www.act-on.com,"UK,USA,India",,,https://twitter.com/actonsoftware,https://www.crunchbase.com/organization/act-on-software,,,https://www.owler.com/company/act-on,20 January 2023
,"""Ada Support, Inc.""","Ada Inc / Ada Support www.ada.support/ now www.ada.cx/ Former @adasupport now @ada_cx Chatbot platform that makes artificial intelligence accessible to non-technical support teams. It operates through both web & mobile machine learning engine that reduces support volume, empowers customers to find answers on their own, & automatically learns how to better serve customers in the future. $2M in estimated revenue annually & competes with Pandorabots, Dexter, & Passage AI. Toronto, ON, Canada. Ada Support Inc.","Active,Rebranding",https://www.ada.cx,Canada,,,https://twitter.com/ada_cx,https://www.crunchbase.com/organization/ada-support,,,,19 March 2022
4,Adobe,"Former ToutApp toutapp.com now within Adobe Marketo Engage: Adobe Systems Inc. agreed to acquire software maker Marketo Inc. for $4.75bn. 19-April-2017, Marketo had acquired ToutApp. ToutApp had $7M in revenue annually & used to compete with Velocify, Inc., Outreach, & SalesLoft.",Acquired,https://www.marketo.com,USA,,,,,,,,11 May 2023
4,Adobe,"Adobe: Adobe Firefly / Adobe Systems / Adobe Digital Publishing Suite (now part of AEM Mobile / Adobe Experience Manager Mobile). Create content like you always did for print, but publish to a tablet instead. If you need to make an emergency change to the app, your designers can push an update the same day. On Sep 20, 2018, Adobe Systems Inc. agreed to acquire software maker Marketo Inc. for $4.75bn. On April 19, 2017, Marketo had acquired ToutApp: $7M in revenue annually & competes with Velocify, Inc., Outreach, & SalesLoft.",Active,https://business.adobe.com,USA,"SaaS,ML","CMS,Document Generation,Content Editing",https://twitter.com/adobeexpcloud,,,B2B,,7 April 2023
,affinity,"Affinity affinity.co @Affinity. Affinity’s new Relationship Intelligence product for sales teams due out later 2020; Affinity expands to open Canadian office. Affinity relationship intelligence platform, announced the acquisition of Nudge, a revenue intelligence platform designed to build relationships & grow sales. Affinity (founded in 2014 just like Nudge) offers a platform that (using AI) collects & analyzes data to build better network relationships. Similarly, Nudge had developed an AI-based revenue intelligence platform for sales teams, used to identify gaps in stakeholder relationships, with the goal of finding & increasing pipeline attrition. nudge.ai (@nudgeai a social selling app that helps you grow the right relationships from your network of weak connections; Toronto, ON, Canada. Out of business as of 21-Jan-2020.) NUDGE.AI ASSETS ACQUIRED LESS THAN TWO MONTHS AFTER COMPANY SHUT DOWN: SAN FRANCISCO, CA; 11-Mar-2020, Nudge has been acquired by Affinity",Active,https://www.affinity.co/,USA,,,https://twitter.com/Affinity,,,B2B,https://betakit.com/nudge-ai-assets-acquired-less-than-two-months-after-company-shut-down/,12 August 2022
14,Bigtincan,"Agnitio A/S agnitio.com @agnitiomcm Digital engagement technologies for the life sciences. Empower sales teams, market access & medical affairs with the tools they need to succeed. Agnitio’s Rainmaker software empowers customer facing teams in life sciences to be successful in today’s digital & mobile world. Agnitio had estimated sustainable annualized recurring revenue (ARR) of A$1.6m AUD. Early October 2020, Bigtincan Holdings Limited (ASX: BTH) entered into a binding purchase for Agnitio (“SPA”) to acquire 100% of the issued capital of Agnitio A/S, a Danish company that provides a leading solution for remote selling for life sciences customers creating Digital Sales Rooms for customer engagements. Copenhagen, Denmark","Acquired,Active",https://agnitio.com,Denmark,,,https://twitter.com/agnitiomcm,,,,,28 April 2023
,Aimino Tech GmbH,"Aimino https://aimino.de AI-driven sales automation platform that enhances your CRM by offering personalized sales messaging, thereby increasing lead conversions & improving employee satisfaction. Multifunctional Sales Automation Tool; designed to assist your team in optimizing Lead Qualification & Conversion Rates - Fully Automated! Boost Your Lead Generation With Al-Powered Personalization: Aimino Tech GmbH, Karlsruhe, Germany",Active,https://aimino.de,Germany,"SaaS,ML","prospecting,outreach,Lead Generation",,,,B2B,,31 August 2023
41,"""DEMAND SCIENCE, LLC""","Airborne airborneapp.io @Airborneapp_io Sales Engagement for Agencies! Sales Engagement Platform for All of Your Agency Clients. Build automation for Email, LinkedIn & Telephone all on one platform. Sales Engagement platform built for Sales & Marketing Agencies. Manage multi-channel sequences via email, phone, & LinkedIn touches. Also known as Airborne. Airborne Apps Inc, Toronto, Ontario, Canada. 20-Jul-2021: Demand Science demandscience.com @DemandScience a revenue intelligence platform announced the acquisition of Airborne App, Inc. a Toronto-based sales engagement and enablement software platform. The acquisition is Demand Science’s sixth since August 2020, enhancing its global B2B data & intelligence solutions for sales & marketing professionals.","Acquired,Active",,Canada,,,https://twitter.com/Airborneapp_io,https://www.crunchbase.com/organization/airborneapp,,B2B,https://demandscience.com/demand-science-acquires-airborne/,18 January 2023
,Airdemos Pty Ltd,"Airdemos airdemos.com @airdemos Enterprise software demos: Airing Enterprise SaaS demos for SMB IT tech buyers, online & on-demand. Tech buyers skip the nonsense cold calls, discovery meetings & sale pitches. Focus on evaluating the software & its features! Allowing buyers to move quickly & confidently towards a purchase decision. Airdemos Pty Ltd. Sydney, NSW, Australia",Active,https://airdemos.com,Australia,,,https://twitter.com/Airdemos,,,,,6 October 2023
,"""Formagrid, Inc.""","airtable.com @airtable Creation guide for 5 essential pieces of content to help you drive deals, from start to close: offers.hubspot.com/sales-enablement-guide ebook. Sales Collateral Management. Made Flexible & Effortless‎. Manage case studies, call decks, & more with the ease of using a spreadsheet. 350+ App Integrations. Spreadsheet Interface. Used by 30,000+ companies. Realtime Collaboration. Drag & Drop File Uploads. Gallery & Card Views. Easy As A Spreadsheet. $20M in revenue annually. Competes with Basecamp, hopTo, & Trello. Formagrid, Inc., San Francisco, CA",Active,www.airtable.com,USA,SaaS,,https://twitter.com/airtable,,,,https://www.owler.com/company/airtable,19 April 2023
,,akordis sales akordis.com @akordis convince your clients of your expertise while you improve your selling skills. Out of business since end of 2017?,Out of Business,,,,,https://twitter.com/akordis,,,,,1 April 2022
5,Mediafly,"Alinean (See Mediafly below) alinean.com @AlineanROI powering B2B Value Selling & Marketing with interactive white papers, diagnostic assessments, ROI / TCO calculators. Founded in 2001 by Tom Pisello. October 25, 2018: Mediafly announced the acquisition of Alinean Inc. Tom will join Mediafly as Chief Evangelist & lead the advisory team in delivering everything from content workshops to deep digital sales transformation projects. Alinean & Mediafly recognize B2B buyers have changed, have become more digitally savvy & sophisticated, & that to stay competitive, sellers need to change along with them. Buyers aren’t looking for sellers to present static, boring pitch decks with product information they’ve already found online. They’re looking for sellers to bring additional value to sales conversations – to effectively communicate the impact their product or service will have on the buyer’s business in the context of what the buyer cares about. Winter Park, Orlando, FL",Acquired,,USA,,,,,30/4/2021,B2B,,19 October 2022
5,Mediafly,"Aptology aptology.com @APTOLOGY1 18-Oct-2022, Mediafly mediafly.com revenue enablement platform, has acquired Aptology aptology.com talent intelligence platform specializing in assessing & predicting sales rep performance. Aptology is Mediafly's sixth acquisition & the latest addition to the company's modular Revenue360 platform, which includes sales enablement, content management, coaching, value selling & revenue intelligence. San Francisco, CA, USA","Acquired,Active",https://www.aptology.com,USA,,,https://twitter.com/APTOLOGY1,https://www.crunchbase.com/organization/aptology,,B2B,,19 October 2022
6,"""Allbound, Inc.""","Allbound allbound.com @allbound SaaS toolset for partner training, content marketing, collaboration, & customer success. Deliver content & training. Ready reps for the entire sales cycle. Training & Learning Tracks to up your reps’ game. Playbooks & Pins to give reps specific content or see what content they’ve assembled. Customer-Facing Tools that help partners & their reps provide ongoing value, both pre- and post-sales. Empower your channel partners to have the conversations they need to have. Collaboration Spaces foster mutually-beneficial, profitable communication & prevent partners from spinning their wheels. Save valuable time with an organized, transparent thread of conversation. No time lost scouring inboxes for emails, no hours wasted on calls with partners half in the dark. Align knowledge across the board & enable representatives from all sides of a deal to share & discuss information in a collaborative environment, archived for everybody’s future reference. Channel Enablement / Partner Enablement. $7.3M USD in annual revenue. Competes with Highspot, Seismic, & Brainshark. Phoenix, AZ & San Francisco, CA, USA. 26-Jul-2022: $43M Private Equity from Invictus Growth Partners Invictus Growth Management LLC",Active,www.allbound.com,USA,SaaS,"Channel (Partner) Enablement,Sales Enablement",https://twitter.com/allbound,https://www.crunchbase.com/organization/allbound,,B2B,https://getlatka.com/companies/allbound,2 February 2023
7,Allego Inc.,"allego allego.com @allegosoftware sales learning & readiness platform. Combines training, practice, coaching & knowledge sharing into one app. Use mobile, video, & peer collaboration to reinvent learning for the dynamic needs of sales teams. Speed & consumer app design match the pace of even the most hard-charging sales people: Sales teams onboard faster, deliver the right messaging, rapidly adopt best practices, coach & practice frequently, & collaborate broadly with peers & home office. Sales pros across financial services, technology, life science & other industries use it to bring their A game to every customer conversation. With call coaching capability sales leaders & managers know if individuals or teams talk more than listen during customer calls, provide the right response when asked about price & timelines, articulate the right responses to objections etc. Automatically provides sales & services leaders visibility into live conversations from the field, combined with learning & readiness suite to act on insights for targeted coaching, training, & enablement initiatives. The sales learning & enablement platform has an integrated Conversation Intelligence product, transforming a company’s Call Coaching module into an end-to-end Conversation Intelligence capability: Sales teams can automatically capture calls & virtual meetings, leveraging Artificial Intelligence (AI) to perform transcription across multiple languages, automate coaching, generate alerts, all with a deeper integration with CRMs & calendars, according to the vendor. $40M estimated revenue annually & competes with MindTickle, CommercialTribe, & Brainshark. Needham, MA. USA. NEEDHAM, Mass. 9-Dec-2020 — Allego, sales learning & enablement solution, announced its acquisition of Refract, UK-based sales engagement & multilingual conversation analytics. Refract brings to the merger capabilities in revenue intelligence—delivering AI-enhanced content & coaching recommendations from sales calls, demos & meetings—to improve sales outcomes & grow revenue. Refract is Now Allego Conversation Intelligence",Active,www.allego.com,USA,"SaaS,ML","Call Coaching,call center agents",https://twitter.com/allegosoftware,https://www.crunchbase.com/organization/allego,,B2B,https://www.owler.com/company/allego,19 April 2023
,,"AlphaSales alphasales.ai https://twitter.com/Alphasalesai @MichalLipka Digital Notebook for sales meetings. Digital notebook with personal assistance for sales professionals. Sales meetings can be overwhelming, especially if you're involved in complex or scientific sales. We're developing a digital notebook with personal assistance aimed towards sales & business development professionals to help you conduct more efficient & effective meetings. London, England, UK",Active,https://alphasales.ai,UK,"ML,SaaS","knowledge management,sales process",https://twitter.com/Alphasalesai,,,B2B,,4 May 2023
171,"Upland Software,""Private Equity Firm HGGC, LLC hggc.com""","Altify https://uplandsoftware.com/altify/ @altifyinc software that integrates with a business’s existing customer relationship management system, to produce sustained & measurable results. It helps revenue teams visualize customers & their desired outcomes, unlocking revenue growth & building sales excellence. Used to compete with Sales Performance International, Richardson, & Miller Heiman Group. San Jose, CA. October 07, 2019 [AUSTIN, Texas] Upland Software, Inc. (Nasdaq: UPLD) cloud-based enterprise work management software, has acquired Altify, customer revenue optimization (CRO) cloud solution for sales & the extended revenue teams. Altify will be a core platform of Upland’s Sales Optimization solution suite. The acquisition adds approximately $24M in annualized revenues. (See Upland below)",Acquired,https://uplandsoftware.com/altify/,USA,,,https://twitter.com/altifyinc,https://www.crunchbase.com/organization/altify,,,,16 July 2022
,innovative information inc.,"AMACUS http://www.amacus.net by innovative information inc. in Vancouver, Canada. “Improving sales productivity by letting reps see the buyer impacts of sales efforts”",Out of Business,http://www.amacus.net,Canada,,,,,,,,1 April 2022
,Lilikoi Data Inc.,"Amity getamity.com @GetAmity Customer Success software. Mitigate risk early. SmartPlaybooks enables your team to provide the right action at the right time.Improve Conversions: Understand what success looks like to your customers and how your product can help them get there. Drive Upsells: Understand your customer’s motivation for the upsell & be perfectly positioned to expand it. Toronto, ON, Canada",Out of Business,,Canada,,,https://twitter.com/GetAmity,https://www.crunchbase.com/organization/amity,11/1/2022,B2B,,10 August 2022
,,"Amplemarket amplemarket.com @amplemarket The pandemic was a catalyst for remote sales motions. It’s not uncommon to see enterprise account executives close multi-million dollar deals without ever meeting the buyer in person. This highlights the importance of a sales stack easy to implement, learn & manage; individual reps need the tools necessary to hit their quota, & managers need to have visibility into what’s happening across their teams without being able to be physically next to their teams on a daily basis. Most sales teams need to stitch together a variety of point solutions to execute their sales motions. Amplemarket can replace a number of those across a few different categories. It was launched in 2019 by MIT alumnus. Originating from Portugal, the 3 founders saw firsthand the challenges of scaling B2B sales in other companies & realized existing point solutions don’t address core problems. The excessive fragmentation of the present-day sales stack combined with recent advances in natural language processing (NLP) set up the opportunity for an all-in-one compound solution that can leverage the virtuous data cycles of having a central system of action. Sales teams have more SaaS subscriptions than they know what to do with, leading to friction & added operational complexity. They designed Amplemarket to rally different pieces of the B2B sales process around a single prospect versus a collection of siloed, disparate tools. Email deliverability is probably one of the most important problems that go-to-market teams have to deal with when doing B2B sales. Email deliverability is a complex multivariate problem & a lot of the things companies did 5 years ago to keep a healthy deliverability aren’t enough. Better Deliverability -> More Sales Conversations -> Increased Sales Pipeline -> More New Customers -> More Revenue! For B2B companies improving their top of the funnel, engaging with more prospects translates directly into more revenue at the bottom of the funnel. So, really, for sales teams: Deliverability = Revenue! San Francisco, California, USA",Active,https://amplemarket.com,"Portugal,USA","SaaS,ML","playbooks,email,Sales Enablement,sales intelligence",https://twitter.com/amplemarket,https://www.crunchbase.com/organization/amplemarket,,"B2B,B2C",https://www.crunchbase.com/organization/amplemarket,18 May 2022
,"""amptalk Co., Ltd""","Amptalk amptalk.co.jp Developer of salesforce management system intended to help businesses in decision-making. The company offers an online negotiation automation tool that transcribes online negotiations and analyses conversation-centric data and automatically inputs the data, & also helps in coaching sales teams, enabling businesses to improve their performance. Tokyo, Japan. amptalk Co., Ltd",Active,amptalk.co.jp,Japan,"Salesforce.com Package,SaaS",,,,,B2B,https://pitchbook.com/profiles/company/472343-77,13 September 2023
,thedocyard Limited,"Ansarada ansarada.com @ansarada Helping businesses eliminate risk, accelerate deals & get ready for their most important events. Categories: Business Development, Enterprise Software, Transaction Processing. Provider of virtual data rooms & organizer of business information. Enables faster, easier & safer business transactions. Their services are used by companies, investment banks, legal & advisory firms in business transactions such as M&A, joint ventures, fundraising & other due diligence based projects. $40M in estimated revenue annually & competes with Brainshark, MindTickle, & Drooms. Sydney, New South Wales, Australia. Publicly listed transaction management company, thedocyard, is to buy out virtual data room (VDR) business Ansarada","Active,publicly-traded company,Acquired",https://www.ansarada.com,Australia,,,https://twitter.com/ansarada,https://www.crunchbase.com/organization/ansarada,,B2B,https://www2.asx.com.au/markets/company/and,28 April 2023
14,Bigtincan,"App Data Room (see Modus below) Sep 19, 2018 Modus has rebranded its company. Modus Engagement, Inc., Modus is now part of Bigtincan, 18-Aug-2023","Rebranding,Acquired",https://www.gomodus.com,USA,SaaS,Sales Enablement,https://twitter.com/modusengagement,https://www.crunchbase.com/organization/app-data-room,,B2B,,15 September 2023
8,Apparound Spa,"Apparound apparound.com Produce professional quotations, proposals & legal contracts with 1-click incl. specific terms, product data, media & other content. Share documents / digital brochures with customers via email & CRM integration. Configure, price & quote complex products with automatic compatibility check. Increase quotation size & shorten sales cycle. Get up-to-speed on new offerings & prices. Get access to the latest price & promotion information. Push sales information across all sales agents in the field. Capture all product details & media in one single place: on sales agents mobile devices. $6.5M in estimated revenue annually. Cascina (Pisa), Italy & Menlo Park, CA, USA. Apparound Spa",Active,www.apparound.com,"USA,Italy",,,https://twitter.com/apparound,https://www.crunchbase.com/organization/apparound,,,,17 December 2022
,,"AppGlu appglu.com custom branded ready-to-run mobile apps for sales teams that can be created in minutes through a self-service dashboard. Arm reps with custom branded iOS & Android mobile apps that contain your company’s most current product information, marketing collateral & sales presentations. Ensure reps have instant access to the most current marketing/sales materials, even when offline. Make meetings more engaging, productive, & measurable through in-app analytics. Ready-to-run enterprise mobile apps as a service. SF, CA. Used to be @AppGlu by ArcTouch @ArcTouch (See arctouch.com) AppGlu, a spin out of ArcTouch, a consulting company that builds mobile apps, seeks to topple enterprise software companies such as Kony & Antenna Software.",Active,https://arctouch.com,USA,,,https://twitter.com/arctouch,,,,,1 April 2022
,"""Appinium, Inc.""","Appinium appinium.com @Appinium provider of content distribution & tracking solutions on the Salesforce App Cloud. Leverage the power of video & reimagine learning. Built on Salesforce for Salesforce Customers. 100% Native Video App. Combines video & learning management to drive audience engagement, analytics, & outcomes. Modernized Sales: Leverage video to enable your sales teams & engage prospects throughout the buying process. Enabled Partners: Empower partners with meaningful timely content to flatten the learning curve & drive success. Effective Employees: Amplify employee engagement with data-driven, personal, role-based learning. Two products ViewTrac (View Trac) & LearnTrac (Learn Trac). San Francisco, CA, USA. Appinium, Inc.",Active,https://appinium.com,USA,,,https://twitter.com/Appinium,,,,,17 December 2022
,Apple,"Apple iOS Business Chat. Business Chat lets you easily connect with companies to ask questions, schedule appointments and make purchases straight from the Messages app. https://www.apple.com/au/ios/business-chat/ Some vendors currently support purchasing a product or service directly within the chat using Apple Pay, while others plan to add Apple Pay support in the coming months.",Active,https://www.apple.com/au/ios/business-chat/,USA,,,,,,,,20 January 2023
