Field 1,Parent company,Vendor,Business status,link,Country of origin,Software type,Focus,X.com (Twitter),Crunchbase,Website shutdown date,B2B vs B2C,Financials,Last edit
,20 Miles Inc.,"20 MILES Inc. 20miles.us @20MilesSoftware (Former fileboard.com). 20 Miles sales platform enables consistent outbound prospecting at scale, leading to more meetings & opportunities. Create workflows that automatically reach prospects across multiple channels. Get more meetings & opportunities while spending less time prospecting. San Francisco, California, USA","Pivoted,Rebranding,Zombie?,Active",http://20miles.us,USA,SaaS,CRM,https://twitter.com/20MilesSoftware,,,B2B,,20 August 2024
,60 Seconds Pty Ltd,"60 Seconds 60seconds.com https://60seconds.com/about/ Australia 60seconds ltd 60 Seconds is the industry’s leading sales training technology to help Salespeople and Sales Managers improve communication. Sydney, NSW, Australia. 60 Seconds Pty. Ltd.",Active,https://60seconds.com/about/,Australia,,mobile,https://x.com/60seconds_app,https://www.crunchbase.com/organization/60seconds-b4ec,,"B2B,B2C",,13 April 2025
,60seconds ltd,"60 Seconds App https://www.60secondsapp.com 60 seconds app London, UK 60seconds ltd @60Seconds_app AI-powered tool collects and analyses data in real-time, helping businesses and organisations uncover hidden insights, optimize pricing strategies, and track unregistered entities. Whether you're in retail or real estate, 60seconds transforms data into actionable solutions to fuel your growth. London, UK, 60seconds ltd","Active,Pivoted,Leaving Sales Enablement market",https://www.60secondsapp.com,"Serbia,UK",,,,https://www.crunchbase.com/organization/60-seconds,,"B2B,B2C",,24 August 2025
,360insights (Canada) Ltd.,"360insights 360insights.com @360insights Channel Success Platform empowers brands to create, measure, & manage their channel incentives programs. 360insights (Canada) Ltd., Canada",Active,https://360insights.com,Canada,SaaS,Channel (Partner) Enablement,https://twitter.com/360insights,,,B2B,,28 December 2024
,A1Base Inc.,"A1Base a1base.com @a1baseapi The identity, trust & communication layer for AI Agents. Y Combinator W25. Give your AI agents authentic communication channels—verified for identity & safeguarded against spam. Turn Your AI Logic Into Your Customer’s AI CoWorker. The API to give AI Agents a phone number, an email & a trusted identity. Give your AI agents real-world capabilities beyond just chat interfaces. A1Base enables your AI agents to: Join WhatsApp groups & chats, Send & receive emails, Send Group Chat History to you, Get a dedicated phone number, Send quality, spam-free messages, Agents can work with other agents. San Francisco, CA, USA & Sydney, NSW, Australia. A1Base Inc.",Active,https://www.a1base.com,"Australia,USA","ML,SaaS","AI Governance,outreach,call center agents",https://x.com/a1baseapi,,,B2B,,10 February 2025
,Absorb Software Inc.,"Absorb Software absorbLMS.com https://www.absorblms.com/solutions/sales-training/ @AbsorbLMS LMS technology built to accelerate learning & drive results. Simplify Learning with an AI-Powered LMS: Enable learning everywhere through an easy-to-use & personalized enterprise LMS that seamlessly blends an engaging learner & effective admin experience. Absorb offers both Absorb Infuse, the first Learning Experience Platform (LXP) to offer a true in-the-flow learning experience, & flagship product, Absorb LMS, a Learning Management System. Sales Training LMS Solution: A successful sales enablement program provides sales teams with the strategic tools, training, content, & knowledge needed to drive sales for an organization. Discover how Absorb LMS — the top-rated sales training LMS — powers accessible & engaging training programs that enable your salespeople & channel partners to close deals & make revenues soar. Absorb Software Inc. (Absorb). Calgary, Alberta Canada",Active,https://www.absorblms.com/solutions/sales-training/,Canada,"SaaS,ML","knowledge management,training / onboarding,LMS,Sales Enablement",https://x.com/AbsorbLMS,,,B2B,,8 June 2024
2,"""Accent Technologies, Inc.""","Accent Technologies accent-technologies.com @accent_tech Accent Accelerator for Sales & Marketing Teams: Designed to empower sales teams with information, insight & technology. Deliver the right information at the right time, have more meaningful conversations, build credibility with buying teams & win more deals through precise, efficient execution. Content, coaching & insight at their fingertips. Provides tools to deliver & track information in a unique personalized way. Now integrating with OpenAI’s ChatGPT AI Engine! AI AT YOUR FINGERTIPS: CHATGPT CUSTOMIZED For Your Team. Put the latest AI technology to work with your own ChatGPT knowledgebase that answers detailed questions about your products, services, accounts, opportunities, pipeline—even with detailed recommendations for next steps & improvement. Customized to know your business: All the knowledge & power of ChatGPT plus the knowledge of your business. It knows your company, products, services, competitors, industry… & anything else you need it to know. Ask a question about your business, you get the answer. It’s that simple. No implementation needed, minimal if any training for the team, no big rollout. Just an incredibly smart assistant that can help with about anything. Want to Know About Sales? Your Sales Assistant will tell you anything you want to know about your deals. Just ask & get the answer. The Sales Assistant is loaded with all the information from our Synthesis Analytics Engine—purpose-built Sales Engine! Helps You Write Emails and Create Personalized Content Your Chat Assistant is not as smarter as ChatGPT—it’s smarter! It knows you & your buyers; & can help you write on-target emails & create personalized content that directly fit your buyer’s needs. FL, USA. Accent Technologies, Inc.",Active,www.accent-technologies.com,USA,"ML,SaaS",Sales Enablement,https://twitter.com/accent_tech,https://www.crunchbase.com/organization/accent-technologies,,B2B,https://www.owler.com/company/accent-technologies,24 August 2025
,Tata Group,"AccessBell accessbell.com @access_bell Customized Video Conferencing for Enterprise Workflows. Customized, self-serve, fully-managed video conferencing for your workflows & apps. Founded March 2020. Expand your Zoom experience with features including real-time collaboration, personal notes, & agendas that sync with tools you already know & love. Take personal & collaborative notes & assign action items during the meeting. Organize your meetings with an agenda to indicate the progress of the meeting. Integrate seamlessly with Slack, Drive, Email, & other productivity tools. Track user engagement & better understand your meeting participation. Palo Alto, CA, USA. PALO ALTO, Calif., June 7, 2021 /PRNewswire/ -- AccessBell, a VC-backed silicon valley startup founded by Stanford MBAs, sold its video conferencing software solution to Tata Medical & Diagnostics for an undisclosed amount. What started as a trial converged into a solution which is being used to provide teleconferencing services to deliver healthcare services.",Acquired,https://www.tata.com,USA,,,https://twitter.com/access_bell,https://www.crunchbase.com/organization/accessbell,,B2B,https://www.prnewswire.com/news-releases/tata-group-buys-accessbells-video-business-301306537.html,24 May 2025
,ACORN PLMS PTY LTD,"Acorn acorn.works @acornplms Acorn PLMS (Performance Learning Management System) synchronizes learning & development (L&D) to business performance. Enable your organization to offer development plans from day one. Performance & learning management system: Assess learners on the competencies that matter to your organization & give them personalized learning pathways that improve performance. Don’t you want to know how your people are performing? L&D’s painfully boring. But it doesn’t have to be. The industry isn’t doing anything about it, & we want to change that. Tired of the same old LMS? See what a real performance learning management system can do for you. Guide leaders through productive performance conversations. Show learners how to be successful in their role & have an impact. Forget the data entry & put employees back in the center of performance management with an accessible & visual understanding of their progress. Get your AI-driven capability framework in minutes (instead of months). ACORN PLMS PTY LTD. Canberra, ACT, Australia; Vancouver, BC, Canada",Active,https://acorn.works,"Canada,Australia","SaaS,ML","learning management system,training / onboarding,LMS",https://x.com/acornplms,https://www.crunchbase.com/organization/acorn-lms,,B2B,,24 May 2025
136,"ACQUIA INC,Vista Equity Partners","Acquia acquia.com @acquia cloud platform for building, delivering & optimizing digital experiences. With the Acquia Platform, organisations can realize personalised, contextual & real-time customer engagement for the right person, at the right time, on the right device. These experiences can be deployed & managed at scale, for 1 to 1000s of sites. Acquia Lift “Content Hub”: Aggregate, syndicate & discover content across a disparate network of sites & channels, no matter the content source. Empower your business team to find content, so that your IT resources have more time to focus on higher priority issues. Break down content silos with powerful discovery tools to quickly find relevant content from other sites, departments, or technologies. Separate the content source from the site architecture or the code that powers the experience, giving you agility to design a great digital experience for your customers. Boston, DC, Portland, & Reading, UK. 8-Sep-2021, Acquia acquired Widen Enterprises, Inc. widen.com @widen for an undisclosed amount. Acquia was acquired by Vista Equity Partners.","Active,Acquired",www.acquia.com,"UK,USA",,,https://twitter.com/acquia,https://www.crunchbase.com/organization/acquia,,B2B,https://www.crunchbase.com/organization/acquia,28 December 2024
,Acquire Inc,"Acquire acquire.io @acquire_io Grow revenue, boost sales & improve support with our comprehensive customer support tools. Knowledge base software that saves you time: Create, organize, & share your customer-facing help center resources using Acquire Knowledge Base. Ready to level up your knowledge base? Scale support & always have the right answers with Acquire Knowledge Base. Got knowledge lying all over the place? No worries. Easily import all your content into Acquire. Knowledge Base Toolkit. Knowledge is power: Acquire’s Knowledge Base software helps you streamline customer service & grow your help resources through powerful features. Knowledge Base & Chatbot: A power couple. Address repetitive questions with a chatbot that suggests relevant knowledge base articles to customers without needing a live support agent. San Francisco, CA",Active,https://acquire.io,USA,,,https://twitter.com/acquire_io,https://www.crunchbase.com/organization/acquire-68dc,,,,24 August 2025
,"""ActiveCampaign, LLC""","ActiveCampaign activecampaign.com @ActiveCampaign customer experience automation platform helping businesses grow through meaningful engagement with their customers. Notify your team when leads take action: Tell your salespeople when their leads take action. If a lead browses specific pages or puts in a pricing request, send an automatic notification so that your salesperson can follow up directly. ActiveCampaign enables Sales teams in volume: 125 email templates available on the customer experience platform. Each template has been designed using HML & includes images & layout suitable for a wide range of B2B & B2C engagements. The templates also include the codes to draw in data from the Active Campaign platform to enable the easy creation of targeted email campaigns. Email marketing is still the king of B2B marketing! The responsive templates slot into one of 500+ automation recipes that ActiveCampaign has on its platform. These enable the automation of the complete sales lifecycle for a customer. Templates are usable for any product & any brand within a portfolio. It is possible to switch colours, fonts, & images & update text. The responsive design ensures that every email sent is easily read, no matter what the device used. More than half of all emails are opened on a mobile device! ActiveCampaign, LLC. Chicago, IL, USA. 3-May-2022, ActiveCampaign acquired Postmark as it builds on rapid growth: Postmark and DMARC Digests, two products owned by Philly web dev mainstay Wildbit, were sold to Chicago-based ActiveCampaign. USA",Active,https://www.activecampaign.com,USA,SaaS,"outreach,engagement",https://twitter.com/ActiveCampaign,,,"B2B,B2C",,28 December 2024
,"""Taurus Labs, Inc.""","Actively AI actively.ai Powering the world’s most ambitious revenue teams with GTM Superintelligence. Maximize Revenue with GTM Super-intelligence. Stop chasing volume. Our AI makes precise decisions across millions of data points—pinpointing who to target, when, & why they’ll say yes. Tells your team what to do & say next. Actively guides every move to maximize revenue by pushing the best accounts, contacts, & relevant messaging to your reps daily. Custom AI that replicates the depth of your best sellers to increase qualified pipeline & revenue. Founded by Stanford AI researchers & loved by scale-ups & enterprises like Ramp, Verkada, Navan, & Ironclad. Precision over volume. Actively’s super intelligence can help you beat rising revenue targets from day 1. Taurus Labs, Inc. New York City, NY, USA",Active,https://www.actively.ai,USA,ML,"GTM,Sales Enablement",,,,B2B,,23 November 2025
144,ACTO Technologies Inc.,"ACTO acto.com @ACTOapp https://twitter.com/ACTOapp Omni-channel Education & Engagement platform for life sciences: Disrupting how drugs & devices are promoted & brought to market. Scrimmage wescrimmage.com @wescrimmage mobile learning platforms & sales enablement software to help reinforce training, improve speed to competency, & enhance sales productivity. Minneapolis, MN, USA based mobile learning company Scrimmage has been acquired by Canadian software company ACTO actoapp.com/actoscrimmage/ the companies announced 11-SEP-2020. ACTO Technologies Inc. Toronto, ON, Canada. 30-Oct-2020: ACTO acquired CoHealth. With joined forces, we are empowering life sciences companies to deliver trusted health content to patients & caregivers, as we drive education outcomes across the care continuum. CoHealth cohealthapp.com @cohealthapp CoHealth (Formerly Dash MD DashMD) We provide patients with the tools and resources they need to manage & coordinate care & recovery. 12-Sep-2018: Dash MD rebrands to CoHealth. Toronto, Ontario, Canada",Active,https://actoapp.com,Canada,,,https://twitter.com/ACTOapp,https://www.crunchbase.com/organization/ACTO,,,https://betakit.com/acto-acquires-us-based-scrimmage-following-series-a/,6 February 2024
144,ACTO Technologies Inc.,"ACTO Technologies Inc. https://twitter.com/ACTOapp Toronto, ON, Canada acquired CoHealth 30-Oct-2020: With joined forces, we are empowering life sciences companies to deliver trusted health content to patients & caregivers, as we drive education outcomes across the care continuum. CoHealth cohealthapp.com @cohealthapp CoHealth (Formerly Dash MD DashMD) We provide patients with the tools and resources they need to manage & coordinate care & recovery. 12-Sep-2018: Dash MD rebrands to CoHealth. Toronto, Ontario, Canada https://twitter.com/cohealthapp",Acquired,,Canada,,,https://twitter.com/cohealthapp,,,,,6 February 2024
3,"""Act-On Software, Inc."",""Banzai International, Inc. (NASDAQ: BNZI)""","act-on Software act-on.com @actonsoftware adaptive marketing platform to get the right messages, to the right people, at the right time. Emphasizes the importance of not only providing a sales team with the right content & tools & aligning those assets with the buying cycle, but aligning the right tools with the right sales person. Competes with Hatchbuck, Percolate, & V Locators. (Percolate acquired by Seismic 5-Nov-2019) Portland, OR / Scottsdale, AZ, USA & Reading, UK & India. 23-Jan-2025, Banzai adds this Enterprise Marketing Automation Platform (AI-driven B2B Marketing) to its growing product family. Banzai International, Inc. (NASDAQ: BNZI) is a marketing technology company that provides essential marketing & sales solutions. Founded in 2016, Banzai went public by merging with a SPAC group led by 7GC Holdings. SEATTLE, 23-Jan-2025, Banzai announced that it signed a definitive agreement to acquire Act-On Software Inc. (“Act-On”), an enterprise marketing automation platform (MAP) provider. Act-On is an easy-to-use & intelligent marketing automation platform, powered by AI & supported by an open data architecture. In a landscape filled with complex marketing suites, Act-On focuses on providing marketing software that enhances team efficiency & facilitates engagement with customers & prospects across all communication channels. Act-On Software, a marketing automation platform, is joining Banzai. This acquisition allows Banzai to improve how marketing teams convert cold prospects into warm leads & loyal customers through AI-driven marketing campaigns. Together, we will help marketers create strong programs that drive growth and increase customer lifetime value. ACT-ON raised $53m: 17 years later they sold for $53m to a SPAC. 20% was cash, the rest was stock. 2x Revenue multiple.","Active,Rebranding,publicly-traded company,Acquired",www.act-on.com,"UK,USA,India",SaaS,,https://twitter.com/actonsoftware,https://www.crunchbase.com/organization/act-on-software,,B2B,"https://www.owler.com/company/act-on ACT-ON raised $53m: 17 years later they sold for $53m to a SPAC. 20% was cash, the rest was stock. 2x Revenue multiple.",31 January 2025
,"""Ada Support, Inc.""","Ada Inc / Ada Support www.ada.support/ now www.ada.cx/ Former @adasupport now @ada_cx Chatbot platform that makes artificial intelligence accessible to non-technical support teams. It operates through both web & mobile machine learning engine that reduces support volume, empowers customers to find answers on their own, & automatically learns how to better serve customers in the future. $2M in estimated revenue annually & competes with Pandorabots, Dexter, & Passage AI. Toronto, ON, Canada. Ada Support Inc.","Active,Rebranding",https://www.ada.cx,Canada,,,https://x.com/ada_cx,https://www.crunchbase.com/organization/ada-support,,,,26 October 2025
4,Adobe,"Former ToutApp toutapp.com now within Adobe Marketo Engage: Adobe Systems Inc. agreed to acquire software maker Marketo Inc. for $4.75bn. 19-April-2017, Marketo had acquired ToutApp. ToutApp had $7M in revenue annually & used to compete with Velocify, Inc., Outreach, & SalesLoft.",Acquired,https://www.marketo.com,USA,,,,,,,,24 August 2025
4,Adobe,"Adobe Systems: Adobe Digital Publishing Suite (part of Adobe Experience Manager Mobile). With Adobe Digital Publishing Solution (DPS), you can create interactive apps that inform, educate, & empower sales teams to draw customers into engaging conversations — helping you seal the deal & drive revenue. Create content like you always did for print, but publish to a tablet instead. Need to make a change to the app? Designers can push an update the same day. Sep-2018, Adobe Systems Inc acquired Marketo Inc. for $4.75bn. Apr-2017, Marketo acquired ToutApp: $7M in revenue annually & competes with Velocify, Inc., Outreach, & SalesLoft Workfront workfront.com @workfront @AdobeWorkfront modern work management platform designed to connect people to work & accelerate organizational success across the enterprise. Lehi, UT, USA. 8-Dec-2020, Adobe announced that the acquisition of software company workfront has been completed. Workfront had more than 3k enterprise customers & 1M personal users. Adobe is NOT acquiring Figma! Mar-2023, Adobe released a beta of the first model from Adobe Firefly, a family of creative generative AI models.",Active,https://business.adobe.com,USA,"SaaS,ML","CMS,Document Generation,Content Editing",https://twitter.com/adobeexpcloud,,,B2B,,9 June 2024
,affinity,"Affinity affinity.co @Affinity. Affinity’s new Relationship Intelligence product for sales teams due out later 2020; Affinity expands to open Canadian office. Affinity relationship intelligence platform, announced the acquisition of Nudge, a revenue intelligence platform designed to build relationships & grow sales. Affinity (founded in 2014 just like Nudge) offers a platform that (using AI) collects & analyzes data to build better network relationships. Similarly, Nudge had developed an AI-based revenue intelligence platform for sales teams, used to identify gaps in stakeholder relationships, with the goal of finding & increasing pipeline attrition. nudge.ai (@nudgeai a social selling app that helps you grow the right relationships from your network of weak connections; Toronto, ON, Canada. Out of business as of 21-Jan-2020.) NUDGE.AI ASSETS ACQUIRED LESS THAN TWO MONTHS AFTER COMPANY SHUT DOWN: SAN FRANCISCO, CA; 11-Mar-2020, Nudge has been acquired by Affinity",Active,https://www.affinity.co,USA,SaaS,CRM,https://twitter.com/Affinity,,,B2B,https://betakit.com/nudge-ai-assets-acquired-less-than-two-months-after-company-shut-down/,28 December 2024
154,"Bigtincan,""Vector Capital Management, L.P."",Insight Partners,Showpad","Agnitio A/S agnitio.com https://agnitio.com @agnitiomcm Digital engagement technologies for the life sciences. Empower sales teams, market access & medical affairs with the tools they need to succeed. Agnitio’s Rainmaker software empowers customer facing teams in life sciences to be successful in today’s digital & mobile world. Agnitio had estimated sustainable annualized recurring revenue (ARR) of A$1.6m AUD. Early October 2020, Bigtincan Holdings Limited (used to be listed ASX: BTH) entered into a binding purchase for Agnitio (“SPA”) to acquire 100% of the issued capital of Agnitio A/S, a Danish company that provides a leading solution for remote selling for life sciences customers creating Digital Sales Rooms for customer engagements. Copenhagen, Denmark.  San Francisco — August 26, 2025 — Vector Capital Management, L.P., a private equity firm specializing in transformational investments in established technology businesses, announced an agreement to acquire Showpad, an AI revenue enablement technology company with headquarters in Chicago and Ghent, Belgium. After the transaction closes, Vector will combine Showpad with Bigtincan Holdings, which it acquired in April 2025. The combined entity will operate under the Showpad brand. It will deliver an AI-powered revenue enablement solution across all aspects of buyer-seller engagement with broad geographic diversity, and combined R&D resources to accelerate innovation market-wide. Insight Partners, a large investor in Showpad, will roll over its full investment into the combined company. The completion of the transaction is subject to customary conditions, including regulatory approval. Further terms were not disclosed, and the transaction is expected to close in 2025.","Acquired,Out of Business,Rebranding",,Denmark,,,https://twitter.com/agnitiomcm,,24/8/2025,,"San Francisco — August 26, 2025 — Vector Capital Management, L.P., a private equity firm specializing in transformational investments in established technology businesses, announced an agreement to acquire Showpad, an AI revenue enablement technology company with headquarters in Chicago and Ghent, Belgium. After the transaction closes, Vector will combine Showpad with Bigtincan Holdings, which it acquired in April 2025. The combined entity will operate under the Showpad brand. It will deliver an AI-powered revenue enablement solution across all aspects of buyer-seller engagement with broad geographic diversity, and combined R&D resources to accelerate innovation market-wide. Insight Partners, a large investor in Showpad, will roll over its full investment into the combined company. The completion of the transaction is subject to customary conditions, including regulatory approval. Further terms were not disclosed, and the transaction is expected to close in 2025.",28 August 2025
,Aimino Tech GmbH,"Aimino https://aimino.de WIN MORE CUSTOMERS & BOOST SALES WITH AUTOMATED OUTREACH: Grow Sales Effortlessly With Outreach Automation-See Fast Results With Minimal Effort. Automated, Personalized, Effortless. AI-driven sales automation platform that enhances your CRM by offering personalized sales messaging, thereby increasing lead conversions & improving employee satisfaction. Multifunctional Sales Automation Tool; designed to assist your team in optimizing Lead Qualification & Conversion Rates - Fully Automated! Boost Your Lead Generation With Al-Powered Personalization: Aimino Tech GmbH, Karlsruhe, Germany","Active,Rebranding,Pivoted",https://aimino.de,"Germany,Vietnam","SaaS,ML","prospecting,outreach,Lead Generation",,,,"B2B,B2C",,16 July 2024
41,"""DEMAND SCIENCE, LLC""","Airborne airborneapp.io @Airborneapp_io Sales Engagement for Agencies! Sales Engagement Platform for All of Your Agency Clients. Build automation for Email, LinkedIn & Telephone all on one platform. Sales Engagement platform built for Sales & Marketing Agencies. Manage multi-channel sequences via email, phone, & LinkedIn touches. Also known as Airborne. Airborne Apps Inc, Toronto, Ontario, Canada. 20-Jul-2021: Demand Science demandscience.com @DemandScience a revenue intelligence platform announced the acquisition of Airborne App, Inc. a Toronto-based sales engagement and enablement software platform. The acquisition is Demand Science’s sixth since August 2020, enhancing its global B2B data & intelligence solutions for sales & marketing professionals. DemandScience & Terminus merged under the DemandScience brand, 12-November-2024: DANVERS, MA, & ATLANTA, GA, USA; DemandScience, a B2B revenue intelligence & demand generation company that accelerates global growth for clients, & Terminus, an account-centric platform for revenue growth, announced that Terminus has merged into DemandScience. The newly combined company will operate under the DemandScience brand. The combination moves DemandScience forward as a global B2B revenue marketing company with a next generation account-based experience (“ABX”) platform and omnichannel solutions that enable marketers to accelerate every point along the buying journey.","Acquired,Out of Business",,Canada,,,https://x.com/Airborneapp_io,https://www.crunchbase.com/organization/airborneapp,24/8/2025,B2B,https://demandscience.com/demand-science-acquires-airborne/,24 August 2025
